game_id,game_date,team,min,fgm,fga,fg2m,fg2a,fg3m,fg3a,ftm,fta,pts,reb,ast,to,stl,blk,oreb,dreb,pf,ncat_score,opp_score,home_away,win,opponent,is_ncat,team_score,opp_score_,opp_team,opp_min,opp_fgm,opp_fga,opp_fg2m,opp_fg2a,opp_fg3m,opp_fg3a,opp_ftm,opp_fta,opp_pts,opp_reb,opp_ast,opp_to,opp_stl,opp_blk,opp_oreb,opp_dreb,opp_pf,poss,opp_poss,pace,ortg,drtg,efg_pct,ts_pct
401746261,2025-03-14,North Carolina A&T Aggies,225.0,27,73,22,51,5,22,7,9,66,32,15,8,13,1,12,20,11,66,74,home,0,William & Mary Tribe,1,66,74,William & Mary Tribe,225.0,30,58,19,39,11,19,3,3,74,37,18,20,4,3,6,31,17,72.96,73.32,73.13999999999999,90.23789991796556,101.17582718074927,0.4041095890410959,0.4287941787941788
401756982,2025-03-20,North Carolina A&T Aggies,200.0,18,60,17,49,1,11,8,19,45,38,8,16,9,3,12,26,11,45,61,away,0,Virginia Tech Hokies,1,45,61,Virginia Tech Hokies,200.0,24,63,16,39,8,24,5,7,61,39,13,15,9,10,9,30,17,72.36,72.08,72.22,62.30960952644698,84.46413735807255,0.30833333333333335,0.3291398478642481
401813787,2025-11-04,North Carolina A&T Aggies,200.0,11,52,9,33,2,19,16,22,40,32,2,17,5,3,9,23,19,40,78,away,0,Texas Tech Lady Raiders,1,40,78,Texas Tech Lady Raiders,200.0,28,64,21,36,7,28,15,18,78,40,14,14,11,9,8,32,19,69.68,77.92,73.80000000000001,54.20054200542005,105.69105691056907,0.23076923076923078,0.324254215304799
401813788,2025-11-06,North Carolina A&T Aggies,200.0,14,52,11,39,3,13,12,23,43,22,11,19,8,1,8,14,13,43,82,away,0,TCU Horned Frogs,1,43,82,TCU Horned Frogs,200.0,32,68,21,33,11,35,7,11,82,41,24,16,7,12,17,24,19,73.12,71.84,72.48,59.32671081677704,113.13465783664458,0.2980769230769231,0.34610431423052157
401813789,2025-11-09,North Carolina A&T Aggies,200.0,20,50,14,39,6,11,18,29,64,34,13,23,5,7,7,27,22,64,71,away,0,New Mexico Lobos,1,64,71,New Mexico Lobos,200.0,24,64,17,40,7,24,16,27,71,34,12,14,16,6,13,21,23,78.76,76.88,77.82,82.24106913389875,91.23618607041892,0.46,0.5098789037603569
401813790,2025-11-13,North Carolina A&T Aggies,200.0,27,77,21,56,6,21,17,24,77,51,18,8,7,5,20,31,9,77,28,home,1,Shaw Bears,1,77,28,Shaw Bears,200.0,11,55,10,40,1,15,5,8,28,32,8,23,4,10,6,26,24,75.56,75.52,75.53999999999999,101.93275086047129,37.06645485835319,0.38961038961038963,0.4396984924623115
401813791,2025-11-16,North Carolina A&T Aggies,200.0,23,41,20,29,3,12,25,37,74,41,11,32,11,3,10,31,19,74,43,home,1,Winston-Salem Rams,1,74,43,Winston-Salem Rams,200.0,16,66,14,42,2,24,9,14,43,26,9,25,24,2,13,13,30,79.28,84.16,81.72,90.55310817425355,52.618697993147336,0.5975609756097561,0.645949720670391
401807519,2025-11-21,North Carolina A&T Aggies,200.0,17,47,17,41,0,6,16,31,50,30,7,24,6,3,6,24,12,50,85,home,0,North Carolina Tar Heels,1,50,85,North Carolina Tar Heels,200.0,33,69,21,35,12,34,7,10,85,34,19,18,13,5,11,23,24,78.64,80.4,79.52000000000001,62.87726358148893,106.89134808853117,0.3617021276595745,0.41226912928759896
401813792,2025-12-02,North Carolina A&T Aggies,200.0,18,45,16,34,2,11,35,43,73,45,10,27,7,12,9,36,23,73,67,away,1,North Carolina Central Eagles,1,73,67,North Carolina Central Eagles,200.0,21,69,13,46,8,23,17,27,67,30,9,14,15,4,13,17,32,81.92,81.88,81.9,89.13308913308913,81.8070818070818,0.4222222222222222,0.5710262828535669
401813793,2025-12-06,North Carolina A&T Aggies,200.0,17,42,13,28,4,14,12,17,50,28,9,29,6,6,7,21,10,50,63,home,0,Norfolk State Spartans,1,50,63,Norfolk State Spartans,200.0,26,70,19,42,7,28,4,5,63,34,12,16,16,5,18,16,15,71.48,70.2,70.84,70.58159232072275,88.93280632411067,0.4523809523809524,0.5052546483427647
